year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,517,515,2,830,819,11,UA,1545,N14228,EWR,IAH,227,1400,5,15,2013-01-01T10:00:00Z
2013,1,1,533,529,4,850,830,20,UA,1714,N24211,LGA,IAH,227,1416,5,29,2013-01-01T10:00:00Z
2013,1,1,542,540,2,923,850,33,AA,1141,N619AA,JFK,MIA,160,1089,5,40,2013-01-01T10:00:00Z
2013,1,1,544,545,-1,1004,1022,-18,B6,725,N804JB,JFK,BQN,183,1576,5,45,2013-01-01T10:00:00Z
2013,1,1,554,600,-6,812,837,-25,DL,461,N668DN,LGA,ATL,116,762,6,0,2013-01-01T11:00:00Z
2013,1,1,554,558,-4,740,728,12,UA,1696,N39463,EWR,ORD,150,719,5,58,2013-01-01T10:00:00Z
2013,1,1,555,600,-5,913,854,19,B6,507,N516JB,EWR,FLL,158,1065,6,0,2013-01-01T11:00:00Z
2013,1,1,557,600,-3,709,723,-14,EV,5708,N829AS,LGA,IAD,53,229,6,0,2013-01-01T11:00:00Z
2013,1,1,557,600,-3,838,846,-8,B6,79,N593JB,JFK,MCO,140,944,6,0,2013-01-01T11:00:00Z
2013,1,1,558,600,-2,753,745,8,AA,301,N3ALAA,LGA,ORD,138,733,6,0,2013-01-01T11:00:00Z
2013,1,1,558,600,-2,849,851,-2,B6,49,N793JB,JFK,PBI,149,1028,6,0,2013-01-01T11:00:00Z
2013,1,1,558,600,-2,853,856,-3,B6,71,N657JB,JFK,TPA,158,1005,6,0,2013-01-01T11:00:00Z
2013,1,1,558,600,-2,924,917,7,UA,194,N29129,JFK,LAX,345,2475,6,0,2013-01-01T11:00:00Z
2013,1,1,558,600,-2,923,937,-14,UA,1124,N53441,EWR,SFO,361,2565,6,0,2013-01-01T11:00:00Z
2013,1,1,559,600,-1,941,910,31,AA,707,N3DUAA,LGA,DFW,257,1389,6,0,2013-01-01T11:00:00Z
2013,1,1,559,559,0,702,706,-4,B6,1806,N708JB,JFK,BOS,44,187,5,59,2013-01-01T10:00:00Z
2013,1,1,559,600,-1,854,902,-8,UA,1187,N76515,EWR,LAS,337,2227,6,0,2013-01-01T11:00:00Z
2013,1,1,600,600,0,851,858,-7,B6,371,N595JB,LGA,FLL,152,1076,6,0,2013-01-01T11:00:00Z
2013,1,1,600,600,0,837,825,12,MQ,4650,N542MQ,LGA,ATL,134,762,6,0,2013-01-01T11:00:00Z
2013,1,1,601,600,1,844,850,-6,B6,343,N644JB,EWR,PBI,147,1023,6,0,2013-01-01T11:00:00Z
2013,1,1,602,610,-8,812,820,-8,DL,1919,N971DL,LGA,MSP,170,1020,6,10,2013-01-01T11:00:00Z
2013,1,1,602,605,-3,821,805,16,MQ,4401,N730MQ,LGA,DTW,105,502,6,5,2013-01-01T11:00:00Z
2013,1,1,606,610,-4,858,910,-12,AA,1895,N633AA,EWR,MIA,152,1085,6,10,2013-01-01T11:00:00Z
2013,1,1,606,610,-4,837,845,-8,DL,1743,N3739P,JFK,ATL,128,760,6,10,2013-01-01T11:00:00Z
2013,1,1,607,607,0,858,915,-17,UA,1077,N53442,EWR,MIA,157,1085,6,7,2013-01-01T11:00:00Z
2013,1,1,608,600,8,807,735,32,MQ,3768,N9EAMQ,EWR,ORD,139,719,6,0,2013-01-01T11:00:00Z
2013,1,1,611,600,11,945,931,14,UA,303,N532UA,JFK,SFO,366,2586,6,0,2013-01-01T11:00:00Z
2013,1,1,613,610,3,925,921,4,B6,135,N635JB,JFK,RSW,175,1074,6,10,2013-01-01T11:00:00Z
2013,1,1,615,615,0,1039,1100,-21,B6,709,N794JB,JFK,SJU,182,1598,6,15,2013-01-01T11:00:00Z
2013,1,1,615,615,0,833,842,-9,DL,575,N326NB,EWR,ATL,120,746,6,15,2013-01-01T11:00:00Z
2013,1,1,622,630,-8,1017,1014,3,US,245,N807AW,EWR,PHX,342,2133,6,30,2013-01-01T11:00:00Z
2013,1,1,623,610,13,920,915,5,AA,1837,N3EMAA,LGA,MIA,153,1096,6,10,2013-01-01T11:00:00Z
2013,1,1,623,627,-4,933,932,1,UA,496,N459UA,LGA,IAH,229,1416,6,27,2013-01-01T11:00:00Z
2013,1,1,624,630,-6,909,840,29,EV,4626,N11107,EWR,MSP,190,1008,6,30,2013-01-01T11:00:00Z
2013,1,1,624,630,-6,840,830,10,MQ,4599,N518MQ,LGA,MSP,166,1020,6,30,2013-01-01T11:00:00Z
2013,1,1,627,630,-3,1018,1018,0,US,27,N535UW,JFK,PHX,330,2153,6,30,2013-01-01T11:00:00Z
2013,1,1,628,630,-2,1137,1140,-3,AA,413,N3BAAA,JFK,SJU,192,1598,6,30,2013-01-01T11:00:00Z
2013,1,1,628,630,-2,1016,947,29,UA,1665,N33289,EWR,LAX,366,2454,6,30,2013-01-01T11:00:00Z
